wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
GD 178,Gaia EDR3 1276688069644366592,15 11 27.42,32 04 18.90,DA,14734.0,8.091,34.15,,14.478
GD 194,Gaia EDR3 1202826348825240832,15 52 26.20,18 10 20.56,DA,14734.0,8.41,36.87,14.83,15.221
GJ 2076,Gaia EDR3 5242316444456199808,09 55 22.45,-71 18 10.04,DA,14730.0,7.8,30.55,13.48,
BD-07 3632,Gaia EDR3 3630035787972473600,13 30 12.44,-08 34 37.03,DA,14714.0,8.0,16.09,12.33,
GJ 4165,Gaia EDR3 1871118140493076224,20 49 06.92,37 28 16.42,DAP,14709.7569,8.303838,17.59,13.0,
GD 89,Gaia EDR3 926002203218885504,07 47 25.74,44 08 45.68,DA,14704.0,8.42,38.33,,15.038
HZ 4,Gaia EDR3 3302846072717868416,03 55 22.18,09 47 18.05,DA,14638.8898,8.306858,34.98,14.47,
WD 1319+466,Gaia EDR3 1551062778220116992,13 21 14.74,46 23 25.00,DA,14573.4585,8.373724,32.88,14.55,14.7
WD 0701-58,Gaia EDR3 5480556532316697216,07 02 19.62,-58 50 05.79,DA,14560.0,8.56,29.39,14.46,
GD 279,Gaia EDR3 356922880493142016,01 52 02.97,47 00 08.60,DA,14335.4305,8.003674,16.51,12.44,
GD 86,Gaia EDR3 976040702520790400,07 34 27.25,48 41 12.19,DA,14244.8303,8.609585,32.51,,
GD 1192,MCT 2333-1634,23 35 36.72,-16 17 45.93,DA,14236.0,8.09,24.0,13.57,
GD 64,Gaia EDR3 201881364339401728,04 57 22.57,41 55 53.06,DA,14150.2802,7.785325,38.11,13.976,
GD 325,Gaia EDR3 1552488776081383040,13 36 01.61,48 28 45.56,DB+dM,14066.1308,7.884304,36.86,14.02,13.87
WD 1344+572,Gaia EDR3 1658578797618935680,13 46 01.68,57 00 35.82,DA,14059.0,8.052,24.97,13.3,13.718
EGGR 67,Gaia EDR3 820105214691139584,09 46 39.07,43 54 56.83,DA,13954.0,7.564,32.03,13.29,14.887
WD 1105-340,Gaia EDR3 5401688425816913920,11 07 47.95,-34 20 55.70,DA,13891.0,8.06,26.18,13.66,
EGGR 508,Gaia EDR3 2414888694102153088,00 03 31.90,-16 43 58.40,DBA,13880.0,8.63,38.08,14.69,
HE 0426-0455,Gaia EDR3 3202808828330265088,04 29 26.17,-04 48 44.64,DA,13846.0,8.051,39.34,14.45,14.696
GD 408,Gaia EDR3 537563127588521600,00 05 07.52,73 13 11.34,DBAZ,13701.674,8.074401,34.50,14.33,
EGGR 130,Gaia EDR3 4320094439580536320,19 13 38.69,13 36 24.47,DA,13645.8676,7.972408,33.73,14.0,
Wolf 226,Gaia EDR3 243645699341060608,03 47 22.19,43 58 58.40,DA,13619.8983,8.004828,31.91,,
EGGR 576,Gaia EDR3 1408135749896103936,17 05 31.00,48 03 09.14,DA,13545.0,8.04,39.45,13.8,14.771
WD 0311-649,Gaia EDR3 4672306015773211008,03 12 26.13,-64 44 11.51,DA,13135.0,7.83,36.59,13.28,
HS 1544+3800,Gaia EDR3 1376326912864142336,15 46 05.34,37 51 27.72,DA,13065.0,8.05,37.48,14.46,14.758
WD 0145+234,Gaia EDR3 291057843317534464,01 47 54.81,23 39 42.04,DA,13023.014,8.088387,29.43,14.19,14.385
EGGR 30,Gaia EDR3 46896958359881728,04 10 10.40,18 02 22.43,DA,12958.2944,7.999732,34.11,14.14,
Gaia DR2 2587268134239449728,Gaia EDR3 2587268134239449728,01 28 33.85,13 51 21.21,DA,12877.0,7.897,37.64,,14.596
GJ 2131 B,Gaia EDR3 4149820323678136192,17 45 54.62,-13 17 53.84,DA,12850.0,8.0,38.80,14.22,
Ross 198,Gaia EDR3 2177776331525931136,21 26 25.96,55 13 35.42,DA,12798.1357,8.366084,33.72,14.75,
GD 283,Gaia EDR3 457817164137702784,02 35 31.09,57 15 23.97,DA,12689.6384,8.055016,26.66,13.68,
EGGR 162,Gaia EDR3 2871730307948650368,23 43 50.45,32 32 45.77,DA,12674.0,8.008,18.60,12.93,14.301
GD 31,Gaia EDR3 2488960249844340352,02 34 07.99,-05 11 37.86,DA,12635.0,8.554,24.01,14.24,14.568
Wolf 672 A,Gaia EDR3 4387171623850187648,17 18 34.70,01 56 48.64,DA,12461.5958,7.891566,38.17,14.26,
HG 8-7,Gaia EDR3 66144699680456320,04 04 34.29,25 08 48.22,DA,12378.1596,8.045288,26.47,,
V* DN Dra,Gaia EDR3 1431783457574556672,16 48 25.91,59 03 17.89,DA,12369.9449,8.301195,10.95,12.24,
Gaia DR2 63054590968017408,Gaia EDR3 63054590968017408,03 45 12.06,19 40 24.24,DA,12367.0,8.225893,28.25,,
HS 1443+2934,Gaia EDR3 1282448170543051648,14 45 28.38,29 21 32.04,DA,12305.0904,7.95855,38.39,,14.87
V* ZZ Cet,Gaia EDR3 2457759374023232768,01 36 14.12,-11 20 34.49,DA,12267.0,8.01,32.75,14.1,
PG 1026+024,Gaia EDR3 3855631797052747136,10 29 09.70,02 05 52.48,DA,12236.0,7.982,33.60,14.2,14.581
Gaia DR2 6589369272547881856,MCT 2137-3651,21 40 23.57,-36 37 57.67,DQ,12221.0,8.778,39.0,16.1,
GD 133,Gaia EDR3 3810933247769901696,11 19 12.29,02 20 33.54,DAZ,12145.6537,8.042858,38.24,14.57,14.944
GJ 742,Gaia EDR3 2262849634963004416,19 00 10.53,70 39 59.50,DAP,12144.405,8.641193,12.88,13.23,
V* MY Aps,Gaia EDR3 5772718006135360128,14 33 06.54,-81 20 20.37,DAV,12128.0,7.98,20.89,13.75,
LAMOST J064438.16+030704.39,LAMOST J064438.16+030704.39,06 44 38.16,03 07 04.39,DA,12067.0,8.37,5.0,,
V* PY Vul,Gaia EDR3 2025389380082340992,19 37 14.28,27 43 19.08,DA,12062.0309,8.056305,18.26,12.987,
GD 165,Gaia EDR3 1176717792385803136,14 24 38.92,09 17 11.77,DA,11908.0,8.016,33.34,14.32,15.027
V* V470 Lyr,Gaia EDR3 2092134443120038528,18 57 30.23,33 57 31.42,DA,11906.2263,8.340858,30.36,14.64,
EGGR 583,Gaia EDR3 1800298527816525824,21 49 54.87,28 16 58.38,DB,11712.3482,8.031433,34.75,14.68,14.521
V* V886 Cen,Gaia EDR3 6127333286605955072,12 38 48.86,-49 48 01.40,DA,11620.0,8.72,14.84,13.81,
V* VW Lyn,Gaia EDR3 715357559411376128,09 01 48.53,36 07 04.92,DA,11575.0,8.098,33.98,14.544,14.865
Gaia DR2 883006556929519872,Gaia EDR3 883006556929519872,07 03 57.36,25 34 17.44,DBA,11499.1717,7.965257,25.61,13.86,
Gaia DR2 3169486960220617088,Gaia EDR3 3169486960220617088,07 23 00.20,16 17 04.83,DA,11448.0,8.313982,37.18,15.01,
V* ZZ Psc,Gaia EDR3 2660358032257156736,23 28 47.21,05 14 49.97,DAZ,11295.8585,8.021124,17.52,13.04,13.449
PHL 459,Gaia EDR3 2405805697263561600,23 19 35.66,-17 05 28.30,DBA,11227.0,8.066,25.55,14.08,
LAWD 74,Gaia EDR3 4201781696994073472,19 20 34.86,-07 40 02.66,DBQA,11220.0,8.15,10.51,12.31,12.58
WD 1653+256,Gaia EDR3 1306197930941817984,16 55 38.97,25 33 43.48,DA,11195.0,9.246,36.49,,17.17898
Ross 808,Gaia EDR3 1372458109403442432,16 01 23.32,36 48 25.56,DA,11148.0,7.991,32.82,14.36,14.83
Gaia DR2 239721228805415296,Gaia EDR3 239721228805415296,03 19 07.57,42 30 43.91,DC,11142.0,8.248,30.58,14.79,14.803
WD 0457-004,Gaia EDR3 3228023859770327424,04 59 43.40,-00 22 42.52,DA,11012.0,8.787,24.72,15.3,15.442
GD 426,Gaia EDR3 466384799259137920,03 06 16.83,62 22 20.66,DA,10919.4958,8.119317,38.13,14.95,
HD 218572B,Gaia EDR3 6387649708219253248,23 10 23.05,-68 50 18.83,DB,10910.0,7.93,21.07,13.57,
GD 1212,Gaia EDR3 2439184705619919488,23 38 50.77,-07 41 20.33,DA,10808.0,8.004,18.66,13.26,13.732
PG 1225-079,Gaia EDR3 3583181371265430656,12 27 47.23,-08 14 38.62,DBAZ,10800.0,8.0,32.73,14.8,
LAWD 13,Gaia EDR3 4645960583300470656,02 56 19.30,-70 22 12.65,DA,10743.0,8.07,25.23,14.07,
LP 703-6,J235232.30-025309.2,23 52 32.60,-02 53 07.19,DA,10680.0,9.367,29.99,16.98,17.185
EGGR 4,Gaia EDR3 2544456862306151680,00 35 35.68,01 53 02.82,DA,10662.0,8.682,31.84,15.52,15.87
WD 2040-392,MCT 2040-3914,20 43 49.20,-39 03 23.63,DA,10563.0,7.854,23.0,13.74,
HD 140901B,Gaia EDR3 6009537829925128064,15 47 29.45,-37 55 11.81,DA,10402.0,7.97,15.22,12.8,
WD 0129+458,Gaia EDR3 398672715686799488,01 32 46.34,46 04 58.76,DA,10383.0,8.021,38.70,,15.42
GJ 1015 B,Gaia EDR3 418491412783587200,00 41 22.64,55 50 07.23,DQ,10372.728,8.001238,22.90,14.08,
GD 309,Gaia EDR3 859082970614616448,11 26 52.72,59 19 16.23,DA,10364.0,8.633,25.43,15.13,15.44753
GD 340,Gaia EDR3 1620030637207462912,15 09 38.67,63 32 23.89,DA,10269.9105,7.953055,34.83,14.65,
GJ 2139,Gaia EDR3 4107012041007171456,18 42 57.49,-11 08 57.20,DA,10260.0,8.3,24.15,,
PM J18073+0357,Gaia EDR3 4470233817461336704,18 07 23.38,03 56 59.77,DA,10247.0,8.079,30.17,15.08,15.359
WD 1310+583,Gaia EDR3 1566603962760532736,13 12 58.29,58 05 09.98,DA,10244.0255,7.645305,30.79,14.09,14.48
Ross 203,Gaia EDR3 6842831888437047680,21 36 16.67,-13 18 36.78,DA,10193.0,7.86,23.41,13.68,
2MASS J17432300+1434519,Gaia EDR3 4500646618315862144,17 43 22.70,14 34 56.93,DC,10156.1148,7.941208,34.33,,
PG 1632+177,Gaia EDR3 4466388790929771904,16 34 41.93,17 36 33.57,DAZ,10149.0,7.245,25.62,13.106,14.438
WD 1515+668,Gaia EDR3 1645204475617697536,15 15 52.96,66 42 44.42,DA,10099.0,8.248,38.22,,15.803
EGGR 155,Gaia EDR3 2836609093355562496,22 49 06.15,22 36 32.94,DA,10072.0,8.607,17.83,14.36,14.73166
WD 0024-55,Gaia EDR3 4920057871348614272,00 26 40.17,-55 24 51.37,DA,10070.0,8.92,24.05,15.21,
Gaia DR2 1900382604528495744,Gaia EDR3 1900382604528495744,22 07 51.86,34 28 45.28,DA,10068.6603,8.012143,39.75,15.11,
Gaia DR2 4504577986571873280,Gaia EDR3 4504577986571873280,18 47 41.60,12 26 31.79,DA,10020.8631,8.374034,28.85,,
G 102-37,Gaia EDR3 3335991469212690176,05 52 43.55,10 11 00.91,DC,10000.0,,36.88,,
WD 0927-173,Gaia EDR3 5681903877597244032,09 29 43.53,-17 32 55.65,DA,10000.0,8.91,33.24,16.04,
LAWD 27,Gaia EDR3 5274517467840296832,08 06 54.64,-66 18 21.33,DQ,9996.0,7.76,19.23,13.73,
Gaia DR2 995112350178946048,Gaia EDR3 995112350178946048,06 32 35.87,55 59 01.65,DAH,9965.33097,8.523592,37.04,,
Gaia DR2 1703379704562897280,Gaia EDR3 1703379704562897280,16 34 11.97,75 58 59.93,DA,9915.0,7.634,33.49,,15.201
WD 1407+425,Gaia EDR3 1498447607777405312,14 09 45.22,42 16 00.50,DAZ,9873.62689,8.05279,35.89,15.03,15.44302
GD 248,Gaia EDR3 2814629409239942272,23 26 06.54,16 00 17.43,DC,9848.67444,8.036908,33.79,15.13,15.198
EGGR 511,MCT 0032-1735,00 35 18.20,-17 18 51.64,DA,9840.0,8.216,33.0,14.94,
EGGR 120,Gaia EDR3 1326398777041821568,16 39 27.80,33 25 14.78,DA,9816.0,7.983,30.50,14.65,15.045
PM J09027+3120,Gaia EDR3 711744456827031680,09 02 42.57,31 20 43.36,DA,9814.72139,8.218341,33.88,14.75,15.62
GJ 820.1,Gaia EDR3 6348672845649310464,21 13 18.84,-81 49 18.96,DA,9797.0,8.27,16.18,13.62,
WD 2216-657,Gaia EDR3 6404417771644764160,22 19 48.83,-65 29 27.81,DZ,9770.0,8.09,25.53,14.55,
GD 84,Gaia EDR3 974375354722176768,07 18 01.73,45 47 50.18,DC,9759.49693,8.013853,35.49,,
GJ 4191,Gaia EDR3 6462911897617050240,21 19 37.35,-55 50 17.52,DA6,9736.0,7.96,25.06,14.28,
EGGR 262,Gaia EDR3 1864760695541016832,21 01 44.53,31 48 34.30,DQ,9732.09957,8.047539,32.24,15.04,
L 923-22,Gaia EDR3 4201781696994082944,19 20 33.38,-07 39 46.60,DC,9700.0,,10.51,11.676,
WD 2035-369,Gaia EDR3 6683212727417918848,20 38 41.71,-36 49 14.57,DA,9647.0,8.16,31.64,14.93,
EGGR 161,Gaia EDR3 2865535629374939520,23 32 04.05,26 58 46.58,DAH,9627.0,8.448,29.14,15.29,15.729
EGGR 562,Gaia EDR3 2803596046661176576,00 54 46.47,22 56 08.48,DA,9619.57202,8.635248,36.53,16.09,16.517
EGGR 182,Gaia EDR3 712888090655562624,08 59 14.30,32 57 12.10,DQ,9595.42008,8.52769,23.06,15.18,15.11023
EGGR 322,Gaia EDR3 1081813343155426560,07 56 01.11,57 41 52.80,DC,9577.44245,8.164316,29.39,15.08,
Gaia DR2 261664427174056320,Gaia EDR3 261664427174056320,05 15 29.86,50 21 38.99,DA,9571.07362,7.997249,38.52,15.2,
LAWD 80,Gaia EDR3 6853784501721502720,20 10 17.64,-21 46 50.90,DA,9545.0,7.944,26.91,14.4,
GD 393,Gaia EDR3 2169025009235266816,21 00 31.22,50 51 16.12,DA,9535.4977,8.054791,34.03,15.93,
Wolf 1,Gaia EDR3 2545505281002947200,00 13 39.60,00 19 21.64,DA,9507.0,7.985,40.00,15.31,18.04222
GD 348,Gaia EDR3 1641386833807056640,15 37 44.14,65 01 51.42,DA,9480.0,7.983,28.85,14.64,15.256
PG 1350-090,Gaia EDR3 3618657732410663808,13 53 15.92,-09 16 39.11,DAP,9458.0,7.86,19.71,14.55,
L 462-56 A,Gaia EDR3 5436014972680358784,09 36 59.35,-37 21 28.12,DQ,9380.0,8.32,26.25,14.81,
WD 0200-127,MCT 0200-1243,02 03 04.29,-12 29 03.64,DC,9350.0,8.052,24.0,14.55,14.659
WD 1124-293,Gaia EDR3 3482983495102507904,11 27 09.51,-29 40 15.51,DA,9348.0,7.98,33.53,15.04,
Wolf 1516,Gaia EDR3 2591754107321120896,01 18 00.06,16 10 10.15,DQ,9344.67338,8.098498,16.76,13.84,14.041
WD 1225+006,Gaia EDR3 3696778892558087552,12 28 07.67,00 22 21.12,DA,9323.0,7.994,32.31,14.8,15.37
LP 856-26,Gaia EDR3 6275184065428686464,13 59 07.44,-23 33 28.07,DA,9308.0,7.978,33.57,14.96,
WD 2049-222,Gaia EDR3 6808651507904773888,20 52 16.85,-22 06 31.10,DC,9300.0,8.0,20.32,15.0,
LAWD 66,Gaia EDR3 4139531467491239680,17 11 27.07,-14 47 58.07,DQ,9280.0,7.93,22.68,14.32,
Gaia DR2 6788656957673130112,MCT 2109-2934,21 12 40.73,-29 22 20.35,DC,9259.0,7.98,32.0,15.21,
2MASS J19492350+0747318,Gaia EDR3 4298029268399256704,19 49 23.64,07 47 29.71,DA,9216.08052,8.075999,36.53,,
GJ 1060 A,Gaia EDR3 5060587895604134400,03 28 49.66,-27 18 54.08,DA,9207.0,7.71,22.97,13.77,14.42
WD 1159-098,Gaia EDR3 3575770010060921728,12 02 07.45,-10 04 41.40,DA,9200.0,8.535,31.64,15.97,
Ton 949,Gaia EDR3 717393648787722624,08 46 44.21,35 38 32.49,DZA,9198.15848,8.154122,24.56,,15.061
Gaia DR2 2855386170682263424,Gaia EDR3 2855386170682263424,00 21 16.27,25 31 34.59,DA,9187.45618,8.492032,28.11,,15.929
LAWD 53,Gaia EDR3 6177238676273826304,13 51 22.76,-27 34 00.97,DA,9166.0,7.853,37.61,15.0,
Wolf 82,Gaia EDR3 98092934167683072,01 46 41.11,21 54 46.35,DA,9149.0,8.292,26.51,15.05,15.475
PG 0156+156,Gaia EDR3 78629306318257536,01 59 39.28,15 48 47.47,DC,9148.90835,8.186452,38.24,15.8,15.962
V* V749 Her,Gaia EDR3 4565048312887877888,16 57 09.89,21 26 39.48,DA,9147.0,8.004,20.99,14.09,14.721
EGGR 126,Gaia EDR3 4257461275049675008,18 29 09.88,-04 29 40.24,DA,9125.0,8.0,25.80,14.57,
Ross 640,Gaia EDR3 1331106782752978688,16 28 24.34,36 46 27.79,DZA,9114.74935,8.12238,15.90,13.83,14.217
GD 25,Gaia EDR3 332820971434386432,02 16 16.13,39 51 23.86,DA,9113.62836,8.331054,20.33,14.58,
LAWD 35,J1118-0314,11 18 15.06,-03 14 05.57,DQ,9095.0,7.8538,36.5778,15.34,15.426
CD-32 5613,Gaia EDR3 5639391810273308416,08 41 31.08,-32 56 11.38,DA,9093.0,7.76,8.52,11.86,
Gaia DR2 2524879812959998592,J010338.56-052251.96,01 03 38.64,-05 22 49.41,DAH:,9040.0,9.34,29.05,,17.657
WD 1315-110,Gaia EDR3 3623233040812235904,13 17 47.09,-11 21 05.88,DA,8950.0,8.014,39.71,15.6,
Gaia DR2 195470288131984128,Gaia EDR3 195470288131984128,05 29 13.49,43 00 24.17,DQ,8883.6083,8.054097,35.92,15.36,
Gaia DR2 2667464656943675392,Gaia EDR3 2667464656943675392,21 43 24.08,-06 59 49.46,DA,8866.0,8.422,18.15,,15.297
EGGR 519,Gaia EDR3 303637562009656704,01 45 11.62,31 32 41.21,DA,8847.0,7.551,36.62,14.78,15.285
WD 1334-67,Gaia EDR3 5850533227210203520,13 38 05.82,-68 04 36.03,DA,8840.0,8.16,39.78,15.57,
PG 0913+104,Gaia EDR3 591040864898749312,09 16 02.87,10 11 09.38,DQZA,8837.00196,8.06993,38.61,,15.9887
Gaia DR2 2407167579853954688,Gaia EDR3 2407167579853954688,23 15 30.59,-14 40 06.63,DA,8827.0,8.385,28.87,15.13,
GD 187,Gaia EDR3 1370654257498865536,15 40 33.15,33 08 53.85,DA,8812.0,8.06,29.56,15.03,15.518
GD 215,Gaia EDR3 4280632829779587072,18 43 25.58,04 20 23.93,DA,8807.06507,8.116098,24.88,16.35,
